STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTS,clean-income-data_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
"24","510","120300","24510120300",1400000US24510120300,"1203",Census Tract 1203,G5020,S,"403945","0","+39.3199472","-076.6124858",3,"70776","21995","1542","146"
"24","510","120500","24510120500",1400000US24510120500,"1205",Census Tract 1205,G5020,S,"534553","0","+39.3085848","-076.6140036",19,"56776","10263","1230","196"
"24","510","120600","24510120600",1400000US24510120600,"1206",Census Tract 1206,G5020,S,"504967","0","+39.3170880","-076.6175228",25,"30887","7605","1600","202"
"24","510","280600","24510280600",1400000US24510280600,"2806",Census Tract 2806,G5020,S,"576317","0","+39.2916116","-076.6329627",22,"14978","7982","1517","224"
"24","510","260605","24510260605",1400000US24510260605,"2606.05",Census Tract 2606.05,G5020,S,"9979929","7154314","+39.2583782","-076.5496645",34,"54569","9802","1954","259"
"24","510","261100","24510261100",1400000US24510261100,"2611",Census Tract 2611,G5020,S,"219783","0","+39.2829568","-076.5700550",6,"151771","28331","987","135"
"24","510","270101","24510270101",1400000US24510270101,"2701.01",Census Tract 2701.01,G5020,S,"954113","2251","+39.3327937","-076.5684145",6,"92237","2860","542","53"
"24","510","270102","24510270102",1400000US24510270102,"2701.02",Census Tract 2701.02,G5020,S,"1021027","0","+39.3384113","-076.5597082",11,"54604","15564","1364","198"
"24","510","270200","24510270200",1400000US24510270200,"2702",Census Tract 2702,G5020,S,"938519","0","+39.3406569","-076.5744298",6,"102543","15981","737","131"
"24","510","270301","24510270301",1400000US24510270301,"2703.01",Census Tract 2703.01,G5020,S,"1138525","0","+39.3488223","-076.5722952",6,"84519","21580","1217","179"
