DP05_0001E,DP05_0077PE,GEO_ID
Estimate!!SEX AND AGE!!Total population,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,id
5932,62,1400000US13067031112
1411,13.7,1400000US13067031113
7511,26.5,1400000US13067031114
4690,32.3,1400000US13067031115
4387,24.4,1400000US13067031116
6131,58.8,1400000US13067031117
6169,52,1400000US13067031118
6588,44.7,1400000US13067031205
10395,40.1,1400000US13067031206
4714,49,1400000US13067031207
6010,44.6,1400000US13067031208
4879,66.9,1400000US13067031209
4558,48.4,1400000US13067031211
2330,89.2,1400000US13067031212
4566,30.8,1400000US13067031306
6608,49.5,1400000US13067031307
5194,22.5,1400000US13067031308
6899,19.7,1400000US13067031309
8613,6.8,1400000US13067031310
9633,3.9,1400000US13067031311
10519,27.1,1400000US13067031312
10815,38.5,1400000US13067031313
6273,44,1400000US13067031404
8152,24.5,1400000US13067031405
8309,19.5,1400000US13067031406
6956,29.5,1400000US13067031408
6166,28.7,1400000US13067031409
9443,31,1400000US13067031503
7145,29.9,1400000US13067031505
5414,39.1,1400000US13067031506
3907,19.5,1400000US13067031507
6040,34.8,1400000US13067031508
11568,31.3,1400000US13067031509
3324,69.6,1400000US13069010100
2986,79.5,1400000US13069010200
5982,48.8,1400000US13069010300
5758,59.6,1400000US13069010400
3987,60.5,1400000US13069010500
5614,77.6,1400000US13069010600
6234,52.1,1400000US13069010700
4515,45.1,1400000US13069010801
4621,41.5,1400000US13069010802
5801,59.7,1400000US13071970100
2776,73.1,1400000US13071970200
5062,35.1,1400000US13071970300
3608,44.2,1400000US13071970400
3347,69.3,1400000US13071970500
5751,69,1400000US13071970600
6525,59.1,1400000US13071970701
2584,29.4,1400000US13071970702
3036,28.2,1400000US13071970800
6996,68.5,1400000US13071970900
10095,73.7,1400000US13073030102
3438,66.6,1400000US13073030103
5628,71.9,1400000US13073030105
3368,69.7,1400000US13073030106
7376,79,1400000US13073030201
2862,83.2,1400000US13073030202
6587,72.1,1400000US13073030203
11950,75,1400000US13073030302
10669,66.9,1400000US13073030304
